 	Mean1	Mean2	Mean3
337	784.943	1080.956	830.250
338	873.114	1086.422	837.795
339	988.343	1074.244	848.432
340	1007.171	1049.844	842.114
341	969.086	1026.289	848.159
342	942.829	999.200	827.636
343	887.229	1032.244	839.659
344	896.114	1007.578	812.523
345	805.086	978.089	811.614
346	777.943	976.822	780.773
347	852.143	948.578	795.886
348	875.829	978.644	793.545
349	924.571	980.378	781.500
350	1078.400	1032	854.341
351	1233.971	1096.356	923.023
352	1338.714	1092.111	934.432
353	1445.114	1147.289	990.705
354	1611.486	1273.111	1108.068
355	1597.943	1281.200	1086.341
356	1649.686	1291.467	1092.773
357	1528.886	1258.133	1010
358	1369.343	1214.867	995.977
359	1353.886	1215.244	996.682
360	1362.657	1209.200	997.545
361	1318.829	1248.489	1023.295
362	1357.114	1239.933	1042.841
363	1435.600	1328.689	1119.659
364	1391.571	1322.178	1116.636
365	1253.086	1289.511	1128.136
366	1210	1276.933	1176.705
367	1052.629	1187.044	1056.955
368	934.143	1143.067	1007.977
369	873.343	1099.378	878.591
370	819.171	1055.311	860.409
371	840.600	1054.800	861.045
372	803.171	1023.778	859.159
373	808.657	1010.356	841.273
374	807.771	1035.800	829.568
375	812.114	1043.533	831.682
376	829.200	1039.867	833.023
377	802	1015.311	819.205
378	777.457	979.600	820.568
379	760.543	988.578	806.455
380	896.257	1023.867	847.636
381	1743.543	1226.756	1056.068
382	2089.771	1250.956	1111.614
383	1959.800	1302.889	1059.727
384	2134.657	1362.289	1100.273
385	2229.229	1364.889	1089.386
386	2167.771	1307.889	1015
387	2123.343	1287.422	1034.341
388	1970.371	1254.844	1000.432
389	1932.057	1246.511	983.568
390	1936	1240	986.568
391	2035.200	1235.711	983.659
392	1912.657	1207.244	988.841
393	1950.771	1215.400	991.864
394	2014.086	1282.622	997.659
395	2299.114	1266.267	1038.977
396	2379.486	1351.022	1199.886
397	2264.971	1294.044	1200
398	2101.857	1237.822	1116.455
399	1904.771	1190.911	1040
400	1757.686	1165.244	1000.636
401	1646.657	1120.222	1002.955
402	1485.743	1163.467	1012.977
403	1349.714	1157.178	952.614
404	1227.057	1175.311	922.636
405	1117.714	1188.933	893.773
406	1081.543	1156.756	878.932
407	1000.943	1147.200	890.886
408	930.257	1150.778	854.636
409	885.857	1089.244	844.023
410	838.143	1087.933	827.614
411	1084.543	1216.356	920.955
412	1487.657	1408.556	1062.773
413	1416.400	1387.289	1045.023
414	1319.343	1404.267	1012.568
415	1271.429	1402.467	996.318
416	1192.629	1390.711	952.136
417	1228.657	1390.933	978.955
418	1260.114	1474.089	1014.659
419	1173.057	1440.200	995.182
420	1205.457	1491.578	1037.159
421	1167.800	1463.556	1006.455
422	1132.857	1440.356	1012.136
423	1044.771	1409	973.705
424	1003.571	1410	964.886
425	988.600	1404.200	948.909
426	1014.800	1419.356	1033.659
427	1075.029	1407.622	1079.023
428	1047	1340.733	1004.477
429	957.400	1259.022	937.568
430	925.486	1225.178	883.636
431	877.229	1189.778	891.841
432	833.200	1156.311	882.545
433	822.457	1150.911	837.295
434	793.971	1129.667	843.955
435	784.657	1134	870.864
436	770.257	1126.111	847.091
437	762.286	1100.778	815.932
438	738.514	1081.556	808.386
439	732	1061.422	805.250
440	778.086	1105.867	827.864
441	913.371	1378.511	912.841
442	1348.343	1638.756	1093.455
443	1508.686	1724.333	1139.227
444	1608.029	1909.822	1185.795
445	1423.229	1984.067	1128.750
446	1354.914	1925.089	1083.386
447	1170.486	1710.467	1060.955
448	1115.857	1585.378	1032.205
449	1107.200	1460.911	960.568
450	1037.829	1389.489	950.591
451	996.629	1335.511	935.614
452	948.314	1335.244	965.614
453	1116.257	1835.667	1036.886
454	1070.457	1830.467	1006.886
455	1124.971	1671.511	952.909
456	1100.600	1555.889	1012.864
457	1312.457	1426.289	1057.727
458	1227.543	1343.533	1074.068
459	1190.429	1215.911	1076.955
460	1328.800	1166.800	1009.795
461	1243.514	1097.356	984.205
462	1228.543	1107.578	952.841
463	1110.829	1123.022	946.159
464	1038.029	1129.422	941.273
465	961.057	1131.244	878.500
466	953.771	1133.933	916.886
467	940.029	1145.978	913.432
468	855.800	1162.222	921.068
469	856.286	1143.022	880.841
470	814.800	1135.467	831.909
471	789.486	1225.667	856.250
472	896.200	1342.667	1072.818
473	918.943	1445.022	1123.432
474	1011.257	1591.422	1400.318
475	1069.886	1681.022	1446.068
